From,Entry,Entry Name,Protein names,Gene Names,Organism,Organism (ID),Length,Mass,Subcellular location [CC],Signal peptide,Helix,Beta strand,Turn,Fragment,Reviewed
O53611,O53611,IDH2_MYCTU,Isocitrate dehydrogenase [NADP] 2 (ICD-2) (IDH 2) (EC 1.1.1.42) (Oxalosuccinate decarboxylase),icd-2 icd2 Rv0066c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,745,82550,,,"HELIX 15..32; /evidence=""ECO:0007829|PDB:5KVU""; HELIX 33..35; /evidence=""ECO:0007829|PDB:5KVU""; HELIX 46..53; /evidence=""ECO:0007829|PDB:5KVU""; HELIX 55..57; /evidence=""ECO:0007829|PDB:5KVU""; HELIX 67..74; /evidence=""ECO:0007829|PDB:5KVU""; HELIX 92..104; /evidence=""ECO:0007829|PDB:5KVU""; HELIX 120..129; /evidence=""ECO:0007829|PDB:5KVU""; HELIX 137..140; /evidence=""ECO:0007829|PDB:5KVU""; HELIX 151..159; /evidence=""ECO:0007829|PDB:5KVU""; HELIX 183..186; /evidence=""ECO:0007829|PDB:5KVU""; HELIX 231..248; /evidence=""ECO:0007829|PDB:5KVU""; HELIX 267..276; /evidence=""ECO:0007829|PDB:5KVU""; HELIX 278..281; /evidence=""ECO:0007829|PDB:5KVU""; HELIX 285..290; /evidence=""ECO:0007829|PDB:5KVU""; HELIX 295..297; /evidence=""ECO:0007829|PDB:5KVU""; HELIX 298..307; /evidence=""ECO:0007829|PDB:5KVU""; HELIX 314..323; /evidence=""ECO:0007829|PDB:5KVU""; HELIX 324..326; /evidence=""ECO:0007829|PDB:5KVU""; HELIX 351..360; /evidence=""ECO:0007829|PDB:5KVU""; HELIX 386..398; /evidence=""ECO:0007829|PDB:5KVU""; HELIX 420..423; /evidence=""ECO:0007829|PDB:5KVU""; HELIX 425..427; /evidence=""ECO:0007829|PDB:5KVU""; HELIX 466..483; /evidence=""ECO:0007829|PDB:5KVU""; HELIX 496..508; /evidence=""ECO:0007829|PDB:5KVU""; HELIX 509..511; /evidence=""ECO:0007829|PDB:5KVU""; HELIX 524..535; /evidence=""ECO:0007829|PDB:5KVU""; HELIX 547..562; /evidence=""ECO:0007829|PDB:5KVU""; HELIX 565..567; /evidence=""ECO:0007829|PDB:5KVU""; HELIX 590..599; /evidence=""ECO:0007829|PDB:5KVU""; HELIX 607..624; /evidence=""ECO:0007829|PDB:5KVU""; HELIX 627..645; /evidence=""ECO:0007829|PDB:5KVU""; HELIX 659..676; /evidence=""ECO:0007829|PDB:5KVU""; HELIX 681..696; /evidence=""ECO:0007829|PDB:5KVU""; HELIX 698..707; /evidence=""ECO:0007829|PDB:5KVU""; HELIX 723..730; /evidence=""ECO:0007829|PDB:5KVU""; HELIX 734..741; /evidence=""ECO:0007829|PDB:5KVU""","STRAND 7..12; /evidence=""ECO:0007829|PDB:5KVU""; STRAND 38..43; /evidence=""ECO:0007829|PDB:5KVU""; STRAND 60..62; /evidence=""ECO:0007829|PDB:5KVU""; STRAND 81..84; /evidence=""ECO:0007829|PDB:5KVU""; STRAND 132..134; /evidence=""ECO:0007829|PDB:5KVU""; STRAND 145..148; /evidence=""ECO:0007829|PDB:5KVU""; STRAND 174..176; /evidence=""ECO:0007829|PDB:5KVU""; STRAND 179..182; /evidence=""ECO:0007829|PDB:5KVU""; STRAND 188..191; /evidence=""ECO:0007829|PDB:5KVU""; STRAND 196..204; /evidence=""ECO:0007829|PDB:5KVU""; STRAND 209..218; /evidence=""ECO:0007829|PDB:5KVU""; STRAND 223..229; /evidence=""ECO:0007829|PDB:5KVU""; STRAND 251..254; /evidence=""ECO:0007829|PDB:5KVU""; STRAND 263..265; /evidence=""ECO:0007829|PDB:5KVU""; STRAND 311..313; /evidence=""ECO:0007829|PDB:5KVU""; STRAND 333..335; /evidence=""ECO:0007829|PDB:5KVU""; STRAND 363..366; /evidence=""ECO:0007829|PDB:5KVU""; STRAND 372..378; /evidence=""ECO:0007829|PDB:5KVU""; STRAND 411..413; /evidence=""ECO:0007829|PDB:5KVU""; STRAND 428..430; /evidence=""ECO:0007829|PDB:5KVU""; STRAND 433..441; /evidence=""ECO:0007829|PDB:5KVU""; STRAND 447..453; /evidence=""ECO:0007829|PDB:5KVU""; STRAND 458..464; /evidence=""ECO:0007829|PDB:5KVU""; STRAND 487..490; /evidence=""ECO:0007829|PDB:5KVU""; STRAND 519..522; /evidence=""ECO:0007829|PDB:5KVU""; STRAND 542..545; /evidence=""ECO:0007829|PDB:5KVU""; STRAND 568..573; /evidence=""ECO:0007829|PDB:5KVU""; STRAND 579..583; /evidence=""ECO:0007829|PDB:5KVU""; STRAND 718..720; /evidence=""ECO:0007829|PDB:5KVU""","TURN 336..339; /evidence=""ECO:0007829|PDB:5KVU""; TURN 346..348; /evidence=""ECO:0007829|PDB:5KVU""; TURN 383..385; /evidence=""ECO:0007829|PDB:5KVU""; TURN 403..405; /evidence=""ECO:0007829|PDB:5KVU""; TURN 416..418; /evidence=""ECO:0007829|PDB:5KVU""; TURN 442..444; /evidence=""ECO:0007829|PDB:5KVU""; TURN 536..538; /evidence=""ECO:0007829|PDB:5KVU""",,reviewed
O53666,O53666,FADE5_MYCTU,Broad-specificity linear acyl-CoA dehydrogenase FadE5 (Long-chain-acyl-CoA dehydrogenase) (EC 1.3.8.8) (Medium-chain-acyl-CoA dehydrogenase) (EC 1.3.8.7) (Short-chain-acyl-CoA dehydrogenase) (EC 1.3.8.1),fadE5 Rv0244c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,611,66046,,,"HELIX 8..17; /evidence=""ECO:0007829|PDB:6KSE""; HELIX 21..23; /evidence=""ECO:0007829|PDB:6KSE""; HELIX 28..30; /evidence=""ECO:0007829|PDB:6KSE""; HELIX 35..50; /evidence=""ECO:0007829|PDB:6KSE""; HELIX 54..56; /evidence=""ECO:0007829|PDB:6KSE""; HELIX 57..62; /evidence=""ECO:0007829|PDB:6KSE""; HELIX 78..89; /evidence=""ECO:0007829|PDB:6KSE""; HELIX 92..94; /evidence=""ECO:0007829|PDB:6KSE""; HELIX 99..101; /evidence=""ECO:0007829|PDB:6KSE""; HELIX 108..121; /evidence=""ECO:0007829|PDB:6KSE""; HELIX 123..128; /evidence=""ECO:0007829|PDB:6KSE""; HELIX 131..141; /evidence=""ECO:0007829|PDB:6KSE""; HELIX 144..155; /evidence=""ECO:0007829|PDB:6KSE""; HELIX 173..175; /evidence=""ECO:0007829|PDB:6KSE""; HELIX 203..205; /evidence=""ECO:0007829|PDB:6KSE""; HELIX 224..226; /evidence=""ECO:0007829|PDB:6KSE""; HELIX 283..285; /evidence=""ECO:0007829|PDB:6KSE""; HELIX 289..325; /evidence=""ECO:0007829|PDB:6KSE""; HELIX 332..334; /evidence=""ECO:0007829|PDB:6KSE""; HELIX 345..347; /evidence=""ECO:0007829|PDB:6KSE""; HELIX 349..373; /evidence=""ECO:0007829|PDB:6KSE""; HELIX 378..385; /evidence=""ECO:0007829|PDB:6KSE""; HELIX 389..421; /evidence=""ECO:0007829|PDB:6KSE""; HELIX 422..427; /evidence=""ECO:0007829|PDB:6KSE""; HELIX 433..441; /evidence=""ECO:0007829|PDB:6KSE""; HELIX 442..444; /evidence=""ECO:0007829|PDB:6KSE""; HELIX 450..459; /evidence=""ECO:0007829|PDB:6KSE""; HELIX 468..481; /evidence=""ECO:0007829|PDB:6KSE""; HELIX 491..517; /evidence=""ECO:0007829|PDB:6KSE""; HELIX 522..524; /evidence=""ECO:0007829|PDB:6KSE""; HELIX 525..560; /evidence=""ECO:0007829|PDB:6KSE""; HELIX 565..584; /evidence=""ECO:0007829|PDB:6KSE""; HELIX 588..597; /evidence=""ECO:0007829|PDB:6KSE""; HELIX 602..605; /evidence=""ECO:0007829|PDB:6KSE""; HELIX 608..610; /evidence=""ECO:0007829|PDB:6KSE""","STRAND 66..68; /evidence=""ECO:0007829|PDB:6KSE""; STRAND 73..75; /evidence=""ECO:0007829|PDB:6KSE""; STRAND 159..163; /evidence=""ECO:0007829|PDB:6KSE""; STRAND 169..171; /evidence=""ECO:0007829|PDB:6KSE""; STRAND 179..182; /evidence=""ECO:0007829|PDB:6KSE""; STRAND 188..198; /evidence=""ECO:0007829|PDB:6KSE""; STRAND 209..217; /evidence=""ECO:0007829|PDB:6KSE""; STRAND 228..237; /evidence=""ECO:0007829|PDB:6KSE""; STRAND 244..247; /evidence=""ECO:0007829|PDB:6KSE""; STRAND 249..255; /evidence=""ECO:0007829|PDB:6KSE""; STRAND 258..260; /evidence=""ECO:0007829|PDB:6KSE""; STRAND 266..272; /evidence=""ECO:0007829|PDB:6KSE""; STRAND 274..276; /evidence=""ECO:0007829|PDB:6KSE""; STRAND 278..282; /evidence=""ECO:0007829|PDB:6KSE""; STRAND 327..330; /evidence=""ECO:0007829|PDB:6KSE""; STRAND 342..344; /evidence=""ECO:0007829|PDB:6KSE""","TURN 24..26; /evidence=""ECO:0007829|PDB:6KSE""; TURN 51..53; /evidence=""ECO:0007829|PDB:6KSE""; TURN 69..72; /evidence=""ECO:0007829|PDB:6KSE""; TURN 239..241; /evidence=""ECO:0007829|PDB:6KSE""; TURN 445..447; /evidence=""ECO:0007829|PDB:6KSE""; TURN 460..467; /evidence=""ECO:0007829|PDB:6KSE""; TURN 518..520; /evidence=""ECO:0007829|PDB:6KSE""; TURN 585..587; /evidence=""ECO:0007829|PDB:6KSE""",,reviewed
O53692,O53692,ESXG_MYCTU,ESAT-6-like protein EsxG (Conserved protein TB9.8),esxG Rv0287,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,97,9778,SUBCELLULAR LOCATION: Secreted {ECO:0000305|PubMed:21730061}. Note=Secreted via the ESX-3 / type VII secretion system (T7SS). {ECO:0000305|PubMed:21730061}.,,"HELIX 17..39; /evidence=""ECO:0007829|PDB:2KG7""; HELIX 40..42; /evidence=""ECO:0007829|PDB:2KG7""; HELIX 49..76; /evidence=""ECO:0007829|PDB:2KG7""","STRAND 5..7; /evidence=""ECO:0007829|PDB:2KG7""; STRAND 11..13; /evidence=""ECO:0007829|PDB:2KG7""","TURN 90..92; /evidence=""ECO:0007829|PDB:2KG7""",,reviewed
O53695,O53695,MYCP3_MYCTU,Mycosin-3 (EC 3.4.21.-) (MycP3 protease),mycP3 Rv0291,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,461,46127,SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10974545}; Single-pass membrane protein {ECO:0000255}. Note=Cell wall-associated. {ECO:0000269|PubMed:10974545}.,"SIGNAL 1..25; /evidence=""ECO:0000255""",,,,,reviewed
O53699,O53699,STF0_MYCTU,Trehalose 2-sulfotransferase (EC 2.8.2.37),stf0 Rv0295c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,267,29775,,,,,,,reviewed
O53732,O53732,UFAA1_MYCTU,Tuberculostearic acid methyltransferase UfaA1 (TSA methyltransferase) (EC 2.1.1.-),ufaA1 Rv0447c RVBD_0447c P425_00460,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,427,47767,,,,,,,reviewed
O53900,O53900,Y987_MYCTU,Uncharacterized ABC transporter permease protein Rv0987,Rv0987,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,855,93606,SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}.,,,,,,reviewed
O83346,O83346,TP326_TREPA,Putative outer membrane protein assembly factor TP_0326 (TP_92),tp92 TP_0326 TPANIC_0326,Treponema pallidum (strain Nichols),243276,837,94267,"SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000269|PubMed:21488980, ECO:0000269|PubMed:25825429}. Note=The C-terminal beta-barrel domain is exposed on the outer surface of the outer membrane (PubMed:21488980). Antibody labeling by antisera to either the periplasmic or membrane domain occurs in a punctate fashion over the length of the spirochete; detection by periplasmic POTRA-domain-specific antibodies only occurs after mild detergent solubilization (PubMed:25825429). {ECO:0000269|PubMed:21488980, ECO:0000269|PubMed:25825429}.","SIGNAL 1..21; /evidence=""ECO:0000255""",,,,,reviewed
O84025,O84025,RL31B_CHLTR,Large ribosomal subunit protein bL31B (50S ribosomal protein L31 type B),rpmE2 rl31 CT_022,Chlamydia trachomatis serovar D (strain ATCC VR-885 / DSM 19411 / UW-3/Cx),272561,108,12174,,,,,,,reviewed
O84243,O84243,RECR_CHLTR,Recombination protein RecR,recR CT_240,Chlamydia trachomatis serovar D (strain ATCC VR-885 / DSM 19411 / UW-3/Cx),272561,200,22122,,,,,,,reviewed
O84288,O84288,CLPC_CHLTR,Probable ATP-dependent Clp protease ATP-binding subunit,clpC CT_286,Chlamydia trachomatis serovar D (strain ATCC VR-885 / DSM 19411 / UW-3/Cx),272561,854,95146,,,,,,,reviewed
O84385,O84385,ARTJ_CHLTR,Probable ABC transporter arginine-binding protein ArtJ,artJ CT_381,Chlamydia trachomatis serovar D (strain ATCC VR-885 / DSM 19411 / UW-3/Cx),272561,257,28629,SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:20592031}. Cell surface {ECO:0000269|PubMed:20592031}.,"SIGNAL 1..23; /evidence=""ECO:0000255""","HELIX 59..71; /evidence=""ECO:0007829|PDB:3DEL""; HELIX 82..84; /evidence=""ECO:0007829|PDB:3DEL""; HELIX 85..90; /evidence=""ECO:0007829|PDB:3DEL""; HELIX 105..108; /evidence=""ECO:0007829|PDB:3DEL""; HELIX 138..140; /evidence=""ECO:0007829|PDB:3DEL""; HELIX 151..158; /evidence=""ECO:0007829|PDB:3DEL""; HELIX 170..178; /evidence=""ECO:0007829|PDB:3DEL""; HELIX 189..195; /evidence=""ECO:0007829|PDB:3DEL""; HELIX 196..198; /evidence=""ECO:0007829|PDB:3DEL""; HELIX 211..213; /evidence=""ECO:0007829|PDB:3DEL""; HELIX 227..242; /evidence=""ECO:0007829|PDB:3DEL""; HELIX 245..252; /evidence=""ECO:0007829|PDB:3DEL""; HELIX 255..257; /evidence=""ECO:0007829|PDB:3DEL""","STRAND 35..40; /evidence=""ECO:0007829|PDB:3DEL""; STRAND 48..50; /evidence=""ECO:0007829|PDB:3DEL""; STRAND 56..58; /evidence=""ECO:0007829|PDB:3DEL""; STRAND 74..79; /evidence=""ECO:0007829|PDB:3DEL""; STRAND 93..97; /evidence=""ECO:0007829|PDB:3DEL""; STRAND 99..102; /evidence=""ECO:0007829|PDB:3DEL""; STRAND 111..130; /evidence=""ECO:0007829|PDB:3DEL""; STRAND 144..147; /evidence=""ECO:0007829|PDB:3DEL""; STRAND 164..169; /evidence=""ECO:0007829|PDB:3DEL""; STRAND 181..187; /evidence=""ECO:0007829|PDB:3DEL""; STRAND 202..208; /evidence=""ECO:0007829|PDB:3DEL""; STRAND 215..223; /evidence=""ECO:0007829|PDB:3DEL""","TURN 45..47; /evidence=""ECO:0007829|PDB:3DEL""",,reviewed
O84419,O84419,PMPC_CHLTR,Probable outer membrane protein PmpC (Polymorphic membrane protein C),pmpC CT_414,Chlamydia trachomatis serovar D (strain ATCC VR-885 / DSM 19411 / UW-3/Cx),272561,1770,186966,"SUBCELLULAR LOCATION: Secreted, cell wall. Cell outer membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}; Extracellular side {ECO:0000305}.","SIGNAL 1..20; /evidence=""ECO:0000255""",,,,,reviewed
O84449,O84449,SRPD_CHLTR,"Sulfur-rich protein, serovar D (15 kDa cysteine-rich outer membrane protein) (Cysteine-rich protein A)",srp crpA CT_442,Chlamydia trachomatis serovar D (strain ATCC VR-885 / DSM 19411 / UW-3/Cx),272561,150,15986,"SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}. Note=Immunolocalizes to the inclusion membrane, the membrane that surrounds the intracellular parasite. This protein is recognized by CD8+ T-cells in both human and mouse infections, suggesting it gains access to the host cytoplasm. {ECO:0000250}.",,,,,,reviewed
O84462,O84462,TARP_CHLTR,Translocated actin-recruiting phosphoprotein (Tarp protein),tarP CT_456,Chlamydia trachomatis serovar D (strain ATCC VR-885 / DSM 19411 / UW-3/Cx),272561,1005,102132,SUBCELLULAR LOCATION: Secreted. Note=Secreted via type III secretion system and translocated into host cell. {ECO:0000250}.,,,,,,reviewed
O84546,O84546,SYDND_CHLTR,Aspartate--tRNA(Asp/Asn) ligase (EC 6.1.1.23) (Aspartyl-tRNA synthetase) (AspRS) (Non-discriminating aspartyl-tRNA synthetase) (ND-AspRS),aspS CT_542,Chlamydia trachomatis serovar D (strain ATCC VR-885 / DSM 19411 / UW-3/Cx),272561,582,66227,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00044}.,,,,,,reviewed
O84583,O84583,Y579_CHLTR,Protein CT_579,CT_579,Chlamydia trachomatis serovar D (strain ATCC VR-885 / DSM 19411 / UW-3/Cx),272561,439,44024,,,,,,,reviewed
O84591,O84591,ENO_CHLTR,Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase),eno CT_587,Chlamydia trachomatis serovar D (strain ATCC VR-885 / DSM 19411 / UW-3/Cx),272561,424,45439,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00318}. Secreted {ECO:0000255|HAMAP-Rule:MF_00318}. Cell surface {ECO:0000255|HAMAP-Rule:MF_00318}. Note=Fractions of enolase are present in both the cytoplasm and on the cell surface. {ECO:0000255|HAMAP-Rule:MF_00318}.,,"HELIX 61..63; /evidence=""ECO:0007829|PDB:8W21""; HELIX 67..75; /evidence=""ECO:0007829|PDB:8W21""; HELIX 77..81; /evidence=""ECO:0007829|PDB:8W21""; HELIX 89..100; /evidence=""ECO:0007829|PDB:8W21""; HELIX 110..128; /evidence=""ECO:0007829|PDB:8W21""; HELIX 132..137; /evidence=""ECO:0007829|PDB:8W21""; HELIX 155..157; /evidence=""ECO:0007829|PDB:8W21""; HELIX 177..197; /evidence=""ECO:0007829|PDB:8W21""; HELIX 217..230; /evidence=""ECO:0007829|PDB:8W21""; HELIX 247..250; /evidence=""ECO:0007829|PDB:8W21""; HELIX 263..276; /evidence=""ECO:0007829|PDB:8W21""; HELIX 291..301; /evidence=""ECO:0007829|PDB:8W21""; HELIX 317..325; /evidence=""ECO:0007829|PDB:8W21""; HELIX 336..339; /evidence=""ECO:0007829|PDB:8W21""; HELIX 342..354; /evidence=""ECO:0007829|PDB:8W21""; HELIX 372..379; /evidence=""ECO:0007829|PDB:8W21""; HELIX 393..408; /evidence=""ECO:0007829|PDB:8W21""; HELIX 410..412; /evidence=""ECO:0007829|PDB:8W21""","STRAND 5..15; /evidence=""ECO:0007829|PDB:8W21""; STRAND 21..29; /evidence=""ECO:0007829|PDB:8W21""; STRAND 34..38; /evidence=""ECO:0007829|PDB:8W21""; STRAND 44..47; /evidence=""ECO:0007829|PDB:8W21""; STRAND 149..153; /evidence=""ECO:0007829|PDB:8W21""; STRAND 159..161; /evidence=""ECO:0007829|PDB:8W21""; STRAND 164..170; /evidence=""ECO:0007829|PDB:8W21""; STRAND 239..244; /evidence=""ECO:0007829|PDB:8W21""; STRAND 279..284; /evidence=""ECO:0007829|PDB:8W21""; STRAND 305..310; /evidence=""ECO:0007829|PDB:8W21""; STRAND 330..334; /evidence=""ECO:0007829|PDB:8W21""; STRAND 358..362; /evidence=""ECO:0007829|PDB:8W21""; STRAND 383..386; /evidence=""ECO:0007829|PDB:8W21""; STRAND 390..392; /evidence=""ECO:0007829|PDB:8W21""","TURN 106..108; /evidence=""ECO:0007829|PDB:8W21""; TURN 236..238; /evidence=""ECO:0007829|PDB:8W21""; TURN 253..256; /evidence=""ECO:0007829|PDB:8W21""; TURN 302..304; /evidence=""ECO:0007829|PDB:8W21""; TURN 311..315; /evidence=""ECO:0007829|PDB:8W21""",,reviewed
O84616,O84616,CADD_CHLTR,4-aminobenzoate synthase (EC 1.3.3.-) (Chlamydia protein associating with death domains) (CADD) (para-aminobenzoate synthase) (PABA synthase),CT_610,Chlamydia trachomatis serovar D (strain ATCC VR-885 / DSM 19411 / UW-3/Cx),272561,231,26734,"SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:11805081}. Host cytoplasm {ECO:0000269|PubMed:11805081}. Note=Secreted into the host cytoplasm, where it co-localizes with Fas in the proximity of the inclusion body. {ECO:0000269|PubMed:11805081}.",,"HELIX 7..18; /evidence=""ECO:0007829|PDB:8VAI""; HELIX 21..23; /evidence=""ECO:0007829|PDB:8VAI""; HELIX 25..31; /evidence=""ECO:0007829|PDB:8VAI""; HELIX 37..62; /evidence=""ECO:0007829|PDB:8VAI""; HELIX 68..82; /evidence=""ECO:0007829|PDB:8VAI""; HELIX 88..97; /evidence=""ECO:0007829|PDB:8VAI""; HELIX 103..108; /evidence=""ECO:0007829|PDB:8VAI""; HELIX 113..126; /evidence=""ECO:0007829|PDB:8VAI""; HELIX 131..142; /evidence=""ECO:0007829|PDB:8VAI""; HELIX 145..158; /evidence=""ECO:0007829|PDB:8VAI""; HELIX 165..168; /evidence=""ECO:0007829|PDB:8VAI""; HELIX 169..172; /evidence=""ECO:0007829|PDB:8VAI""; HELIX 177..192; /evidence=""ECO:0007829|PDB:8VAI""; HELIX 197..216; /evidence=""ECO:0007829|PDB:8VAI""","STRAND 83..86; /evidence=""ECO:0007829|PDB:8VAI""","TURN 98..100; /evidence=""ECO:0007829|PDB:8VAI""",,reviewed
O84639,O84639,NQRA_CHLTR,Na(+)-translocating NADH-quinone reductase subunit A (Na(+)-NQR subunit A) (Na(+)-translocating NQR subunit A) (EC 7.2.1.1) (NQR complex subunit A) (NQR-1 subunit A),nqrA nqr1 CT_634,Chlamydia trachomatis serovar D (strain ATCC VR-885 / DSM 19411 / UW-3/Cx),272561,465,51757,,,,,,,reviewed
O84818,O84818,PMPD_CHLTR,Probable outer membrane protein PmpD (Polymorphic membrane protein D),pmpD CT_812,Chlamydia trachomatis serovar D (strain ATCC VR-885 / DSM 19411 / UW-3/Cx),272561,1531,160748,"SUBCELLULAR LOCATION: Secreted, cell wall. Cell outer membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}; Extracellular side {ECO:0000305}.","SIGNAL 1..20; /evidence=""ECO:0000255""",,,,,reviewed
O84883,O84883,Y875_CHLTR,Uncharacterized protein CT_875,CT_875,Chlamydia trachomatis serovar D (strain ATCC VR-885 / DSM 19411 / UW-3/Cx),272561,591,66076,,,,,,,reviewed
O86164,O86164,PMP11_CHLPN,Probable outer membrane protein pmp11 (Outer membrane protein 4) (Polymorphic membrane protein 11),pmp11 omp4 CPn_0449 CP_0302 CpB0468,Chlamydia pneumoniae (Chlamydophila pneumoniae),83558,928,98904,"SUBCELLULAR LOCATION: Secreted, cell wall. Cell outer membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}; Extracellular side {ECO:0000305}.","SIGNAL 1..24; /evidence=""ECO:0000255""",,,,,reviewed
P01556,P01556,CHTB_VIBCH,Cholera enterotoxin subunit B (Cholera enterotoxin B chain) (Cholera enterotoxin gamma chain) (Choleragenoid),ctxB toxB VC_1456,Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961),243277,124,13957,SUBCELLULAR LOCATION: Secreted. Host cell membrane {ECO:0000305}.,"SIGNAL 1..21; /evidence=""ECO:0000269|PubMed:903362, ECO:0000269|PubMed:903363""","HELIX 26..30; /evidence=""ECO:0007829|PDB:5LZG""; HELIX 82..99; /evidence=""ECO:0007829|PDB:5LZG""","STRAND 36..43; /evidence=""ECO:0007829|PDB:5LZG""; STRAND 46..51; /evidence=""ECO:0007829|PDB:5LZG""; STRAND 58..62; /evidence=""ECO:0007829|PDB:5LZG""; STRAND 68..71; /evidence=""ECO:0007829|PDB:5LZG""; STRAND 103..123; /evidence=""ECO:0007829|PDB:5LZG""","TURN 75..77; /evidence=""ECO:0007829|PDB:5LZJ""",,reviewed
